NA10845 NA10845 0 0 1 0
NA17140 NA17140 0 0 2 0
NA17105 NA17105 0 0 1 0
NA17752 NA17752 0 0 2 0
NA17746 NA17746 0 0 2 0
NA17135 NA17135 0 0 2 0
NA17742 NA17742 0 0 1 0
NA17104 NA17104 0 0 1 0
NA17741 NA17741 0 0 2 0
NA17738 NA17738 0 0 2 0
NA17201 NA17201 0 0 1 0
NA17745 NA17745 0 0 2 0
NA17749 NA17749 0 0 1 0
NA17133 NA17133 0 0 2 0
NA10842 NA10842 0 0 1 0
NA17736 NA17736 0 0 1 0
NA17107 NA17107 0 0 1 0
NA10852 NA10852 0 0 2 0
NA17756 NA17756 0 0 2 0
NA17735 NA17735 0 0 2 0
NA10848 NA10848 0 0 1 0
NA10850 NA10850 0 0 2 0
NA17110 NA17110 0 0 2 0
NA17111 NA17111 0 0 1 0
NA17136 NA17136 0 0 2 0
NA17755 NA17755 0 0 1 0
NA06990 NA06990 0 0 2 0
NA17733 NA17733 0 0 2 0
NA17103 NA17103 0 0 1 0
NA17739 NA17739 0 0 2 0
NA17108 NA17108 0 0 1 0
NA17759 NA17759 0 0 1 0
NA17112 NA17112 0 0 2 0
NA17113 NA17113 0 0 2 0
NA10843 NA10843 0 0 2 0
NA17743 NA17743 0 0 1 0
NA17757 NA17757 0 0 2 0
NA17754 NA17754 0 0 2 0
NA17734 NA17734 0 0 2 0
2357 NA19625 0 0 2 0
2367 NA19702 NA19700 NA19701 1 0
2367 NA19700 0 0 1 0
2367 NA19701 0 0 2 0
2368 NA19705 NA19703 NA19704 1 0
2368 NA19703 0 0 1 0
2368 NA19704 0 0 2 0
2369 NA19708 0 NA19707 2 0
2369 NA19707 0 0 2 0
2371 NA19711 0 0 1 0
2371 NA19712 0 0 2 0
2418 NA19828 NA19818 NA19819 1 0
2418 NA19818 0 0 1 0
2418 NA19819 0 0 2 0
2424 NA19836 NA19834 NA19835 2 0
2424 NA19834 0 0 1 0
2424 NA19835 0 0 2 0
2425 NA19902 NA19900 NA19901 2 0
2425 NA19900 0 0 1 0
2425 NA19901 0 0 2 0
2426 NA19904 0 0 1 0
2427 NA19919 NA19908 NA19909 1 0
2427 NA19908 0 0 1 0
2427 NA19909 0 0 2 0
2430 NA19915 0 NA19914 1 0
2430 NA19914 0 0 2 0
2431 NA19918 NA19916 NA19917 1 0
2431 NA19916 0 0 1 0
2431 NA19917 0 0 2 0
2433 NA20129 NA19920 NA19921 2 0
2433 NA19920 0 0 1 0
2433 NA19921 0 0 2 0
2436 NA19983 NA19982 NA19713 2 0
2436 NA19982 0 0 1 0
2436 NA19713 0 0 2 0
2437 NA19714 0 NA19985 2 0
2437 NA19985 0 0 2 0
2446 NA20128 NA20126 NA20127 2 0
2446 NA20126 0 0 1 0
2446 NA20127 0 0 2 0
2466 NA20277 0 NA20276 2 0
2466 NA20276 0 0 2 0
2467 NA20279 NA20278 0 1 0
2467 NA20278 0 0 1 0
2469 NA20284 NA20281 NA20282 1 0
2469 NA20281 0 0 1 0
2469 NA20282 0 0 2 0
2470 NA20288 0 NA20287 1 0
2470 NA20287 0 0 2 0
2471 NA20290 0 NA20289 2 0
2471 NA20289 0 0 2 0
2472 NA20292 NA20291 0 2 0
2472 NA20291 0 0 1 0
2474 NA20295 0 NA20294 1 0
2474 NA20294 0 0 2 0
2475 NA20297 0 NA20296 1 0
2475 NA20296 0 0 2 0
2476 NA20300 0 NA20299 2 0
2476 NA20299 0 0 2 0
2477 NA20302 0 NA20301 1 0
2477 NA20301 0 0 2 0
2479 NA20316 0 NA20314 1 0
2479 NA20314 0 0 2 0
2480 NA20319 0 NA20317 2 0
2480 NA20317 0 0 2 0
2481 NA20322 0 0 2 0
2483 NA20333 0 NA20332 2 0
2483 NA20332 0 0 2 0
2484 NA20335 0 NA20334 1 0
2484 NA20334 0 0 2 0
2485 NA20337 0 NA20336 2 0
2485 NA20336 0 0 2 0
2487 NA20340 0 0 1 0
2487 NA20341 0 0 2 0
2488 NA20343 NA20342 0 1 0
2488 NA20342 0 0 1 0
2489 NA20345 0 NA20344 1 0
2489 NA20344 0 0 2 0
2490 NA20347 NA20346 0 1 0
2490 NA20346 0 0 1 0
2491 NA20348 0 0 1 0
2492 NA20350 NA20349 0 1 0
2492 NA20349 0 0 1 0
2494 NA20358 NA20356 NA20357 1 0
2494 NA20356 0 0 1 0
2494 NA20357 0 0 2 0
2495 NA20360 0 NA20359 1 0
2495 NA20359 0 0 2 0
2496 NA20364 0 NA20363 2 0
2496 NA20363 0 0 2 0
1334 NA10846 NA12144 NA12145 1 0
1334 NA12146 0 0 1 0
1334 NA12239 0 0 2 0
1334 NA10847 NA12146 NA12239 2 0
1334 NA12144 0 0 1 0
1334 NA12145 0 0 2 0
1340 NA07029 NA06994 NA07000 1 0
1340 NA07022 0 0 1 0
1340 NA07056 0 0 2 0
1340 NA07019 NA07022 NA07056 2 0
1340 NA06994 0 0 1 0
1340 NA07000 0 0 2 0
1341 NA07048 NA07034 NA07055 1 0
1341 NA06993 0 0 1 0
1341 NA06985 0 0 2 0
1341 NA06991 NA06993 NA06985 2 0
1341 NA07034 0 0 1 0
1341 NA07055 0 0 2 0
1344 NA10851 NA12056 NA12057 1 0
1344 NA12056 0 0 1 0
1344 NA12057 0 0 2 0
1345 NA07357 0 0 1 0
1345 NA07345 0 0 2 0
1345 NA07348 NA07357 NA07345 2 0
1346 NA10857 NA12043 NA12044 1 0
1346 NA12043 0 0 1 0
1346 NA12044 0 0 2 0
1347 NA11881 0 0 1 0
1347 NA11882 0 0 2 0
1347 NA10859 NA11881 NA11882 2 0
1349 NA11839 0 0 1 0
1349 NA11840 0 0 2 0
1349 NA10854 NA11839 NA11840 2 0
1350 NA10856 NA11829 NA11830 1 0
1350 NA11831 0 0 1 0
1350 NA11832 0 0 2 0
1350 NA10855 NA11831 NA11832 2 0
1350 NA11829 0 0 1 0
1350 NA11830 0 0 2 0
1358 NA12707 NA12716 NA12717 1 0
1358 NA12716 0 0 1 0
1358 NA12717 0 0 2 0
1362 NA10860 NA11992 NA11993 1 0
1362 NA11994 0 0 1 0
1362 NA11995 0 0 2 0
1362 NA10861 NA11994 NA11995 2 0
1362 NA11992 0 0 1 0
1362 NA11993 0 0 2 0
1375 NA12264 0 0 1 0
1375 NA12234 0 0 2 0
1375 NA10863 NA12264 NA12234 2 0
1408 NA10830 NA12154 NA12236 1 0
1408 NA12155 0 0 1 0
1408 NA12156 0 0 2 0
1408 NA10831 NA12155 NA12156 2 0
1408 NA12154 0 0 1 0
1408 NA12236 0 0 2 0
